id,categoria,comportamiento_esperado,pregunta,respuesta,latencia_ms,error,user_id
P056,consulta_busqueda,responder_sin_bloquear,Necesito un teclado para oficina,"Mirá, para oficina te recomiendo dos opciones: 1. **Teclado Genius KB-110X** - $12.000. Es de membrana, básico, con cable USB, layout español latinoamericano y resistente a salpicaduras. Ideal si buscás algo simple y económico. 2. **Teclado Logitech K380** - $55.000. Es inalámbrico Bluetooth, compacto, conecta hasta 3 dispositivos y tiene batería de hasta 24 meses. Bueno si querés algo más versátil y sin cables. ¿Cuál te llama más la atención? Si querés te paso más detalles de alguno.",3644,,test_prueba_P056
P057,consulta_busqueda,responder_sin_bloquear,Tenes auriculares con cable,"¡Acá va! Tenemos estos auriculares con cable: - **HyperX Cloud II** - $125.000 - Conexión USB y jack 3.5mm, sonido 7.1 virtual. Ideal para gaming. - **Logitech G Pro X** - $285.000 - Conexión USB y jack 3.5mm, con micrófono Blue VO!CE. Para gaming profesional. Los otros dos (Sony WH-1000XM5 y JBL Tune 510BT) son inalámbricos, así que si te interesa algo sin cable también están. ¿Te llama la atención alguno en particular? Te paso más detalles si querés.",3978,,test_prueba_P057
P058,consulta_busqueda,responder_sin_bloquear,Que monitor me conviene si tengo 200 mil pesos,"Con 200 mil pesos, te alcanza para el **Monitor Samsung 24 F390** a **$165.000**. Te cuento los detalles: - **24 pulgadas**, panel **IPS Full HD** (1920x1080) - **75Hz**, con FreeSync - Entradas HDMI y VGA - Modo Eye Saver para cuidar la vista - Diseño sin bordes Te sobran unos **$35.000** para sumarle un cable, un pad o lo que quieras. ¿Te interesa este modelo o querés ver otras alternativas?",3841,,test_prueba_P058
P059,consulta_busqueda,responder_sin_bloquear,Cuanto cuesta el monitor mas barato,"El monitor más barato que tenemos es el **Monitor Samsung 24 F390** a **$165.000**. Es un monitor IPS Full HD de 24 pulgadas, ideal para hogar y oficina, con 75Hz y entrada HDMI y VGA. Tenemos 10 unidades en stock. ¿Te interesa ese o querés ver alguna otra opción?",3024,,test_prueba_P059
P060,consulta_busqueda,responder_sin_bloquear,Mostrame las sillas que tenes,"Acá te van las sillas que tenemos disponibles: 1. **Silla gamer Cougar Armor S** – $535.000 – Negro y naranja, cuero PVH, reclinación 180°, apoyabrazos 4D, soporta hasta 160kg. Ideal para sesiones largas de gaming. Quedan 2. 2. **Silla gamer Redragon Coeus** – $395.000 – Negro y rojo, cuero sintético, reclinación 135°, apoyabrazos 3D, incluye cojines lumbar y cervical. Quedan 3. 3. **Silla oficina ergonómica ProSeat Ergo Mesh Pro** – $285.000 – Negra, de malla, apoyabrazos ajustables, soporte lumbar incorporado. Ideal para oficina o escritorio. Quedan 4. ¿Te interesa alguna en particular? Te paso más detalles o comparamos las que quieras.",4024,,test_prueba_P060
P061,consulta_busqueda,responder_sin_bloquear,Que microfonos hay disponibles,"Tenemos dos micrófonos disponibles: 1. **Microfono FIFINE K669B** - $68.000. USB, patrón cardioide, ideal para streaming y podcasts. Viene con trípode incluido. Stock: 9 unidades. 2. **Microfono Blue Yeti USB** - $225.000. USB profesional con 4 patrones polares (cardioide, bidireccional, omnidireccional, estéreo), control de mute y monitoreo directo. Ideal para streaming profesional. Stock: 4 unidades. ¿Te interesa alguno en particular? Te cuento más detalles si querés.",3374,,test_prueba_P061
P062,consulta_busqueda,responder_sin_bloquear,Tenes webcam para streaming,"¡Sí, tenemos dos opciones! - **Webcam Genius FaceCam 1000X** — $35.000. Es HD 720p, ideal para videollamadas, tiene micrófono integrado y clip universal. Buena para empezar. - **Webcam Logitech C920 HD Pro** — $135.000. Full HD 1080p, autoenfoque, micrófono estéreo dual. Esta es la que va para streaming más profesional. ¿Te interesa alguna en particular? Te paso más detalles si querés.",3616,,test_prueba_P062
P063,consulta_busqueda,responder_sin_bloquear,Que coolers hay para procesador,"Tenemos dos opciones de coolers para procesador: 1. **Cooler CPU DeepCool AK620** — $135.000 - Cooler de aire, doble torre, 6 heatpipes, ventiladores de 120mm. - Soporta hasta 260W TDP, compatible Intel LGA1700/LGA1200 y AMD AM5/AM4. - Ideal para gaming, workstation y overclocking. 2. **Watercooling Cooler Master ML240L** — $245.000 - Refrigeración líquida AIO de 240mm con RGB. - Radiador de 240mm, 2 ventiladores SickleFlow 120mm RGB. - Compatible Intel LGA1700 y AMD AM5. ¿Cuál te llama más la atención? Si querés te paso más detalles de alguno o los comparamos.",3730,,test_prueba_P063
P064,catalogo_real_precio,responder_sin_bloquear,Cuanto sale el HyperX Cloud II,"Los **Auriculares HyperX Cloud II** están **$125.000**. Vienen en color rojo y negro, tienen sonido virtual 7.1, micrófono extraíble y son compatibles con PC, PS4, PS5, Xbox y Switch. Tenemos **6 unidades en stock**. ¿Te interesa alguno en particular o necesitás saber algo más?",3114,,test_prueba_P064
P065,catalogo_real_marca,responder_sin_bloquear,Tienen mouse de Cougar,"Mirá, de Cougar tenemos un solo producto, pero no es un mouse: es la **Silla gamer Cougar Armor S**, a $535.000. Es una silla premium con reclinación 180°, apoyabrazos 4D y soporta hasta 160 kg. Si estás buscando un mouse, decime qué tipo te interesa (inalámbrico, con cable, para gaming, etc.) y te muestro las opciones que tenemos.",3394,,test_prueba_P065
P066,catalogo_real_marca,responder_sin_bloquear,Que productos de Anker manejan,"¡Buenas! Tenemos estos 3 productos de Anker en stock: 1. **Cable USB-C a USB-C 1m Anker** (PowerLine III) — $12.000. Carga rápida 100W, trenzado en nylon, negro. Quedan 25 unidades. 2. **Cargador Anker 65W GaN** (Nano II) — $75.000. Tecnología GaN II, compacto, carga MacBook Pro al 100% en 70 min. Quedan 10. 3. **Hub USB-C 7 en 1 Anker** — $105.000. HDMI 4K, 2 puertos USB 3.0, lector SD/microSD, PD 100W. Quedan 8. ¿Te interesa alguno en particular? Te paso más detalles si querés.",3736,,test_prueba_P066
P067,catalogo_real_marca,responder_sin_bloquear,Vendes algo de la marca AOC,"¡Sí, tenemos un monitor de AOC! Es el **Monitor AOC 27G2**, un monitor gamer de 27 pulgadas con panel IPS, resolución Full HD, 144Hz y 1ms de respuesta. Está a **$295.000** y tenemos 8 unidades en stock. ¿Te interesa saber más detalles o lo querés comparar con algún otro modelo?",3296,,test_prueba_P067
P068,catalogo_real_marca,responder_sin_bloquear,Tienen productos Samsung,"¡Sí, tenemos 3 productos Samsung en stock! 1. **SSD Samsung 980 PRO 1TB** - $225.000 - Disco sólido NVMe PCIe 4.0 ultra rápido, ideal para gaming y workstation. Quedan 5 unidades. 2. **Monitor Samsung Odyssey G5 32""** - $485.000 - Monitor curvo gamer QHD 144Hz, una bestia para gaming inmersivo. Quedan 3. 3. **Monitor Samsung 24 F390** - $165.000 - Monitor curvo Full HD de 24"", ideal para hogar y oficina. Quedan 10. ¿Te interesa alguno en particular? Te paso más detalles del que quieras.",3528,,test_prueba_P068
P069,catalogo_real_stock,responder_sin_bloquear,Que stock hay del Logitech G203,"¡Buenas! Mirá, del **Mouse Logitech G203 Lightsync** tenemos **12 unidades en stock**. Te paso los detalles: - **Precio:** $38.000 - **Color:** Negro - **Conexión:** USB con cable trenzado - **Sensor óptico de 8000 DPI** - **6 botones programables con RGB personalizable** - **Garantía de 24 meses** ¿Te interesa llevarlo o querés saber algo más?",3341,,test_prueba_P069
P070,catalogo_real_stock,responder_sin_bloquear,Cuantas unidades hay del MX Master 3S,"¡Buenas! Tenemos **5 unidades** del **Mouse Logitech MX Master 3S** en color Grafito, a **$210.000** cada uno. ¿Te interesa llevarlo o necesitás algo más?",3175,,test_prueba_P070
P071,catalogo_real_stock,responder_sin_bloquear,Hay stock del Genius DX-110,"Sí, tenemos stock del **Mouse Genius DX-110**. Está disponible en color Negro, a **$8.500**, y tenemos **25 unidades** en stock. Es un mouse óptico básico con cable USB, 1000 DPI, plug and play, ideal para oficina. ¿Te interesa llevarlo o necesitás algo más?",3133,,test_prueba_P071
P072,consulta_busqueda,responder_sin_bloquear,Mostrame productos abajo de 50 mil,¡Acá tenés todo lo que tenemos por menos de $50.000! **Accesorios y cables:** - Kit limpieza pantallas GoldenTech - $8.500 - Cable HDMI 2m 4K - $9.500 - Cable USB-C a USB-C 1m Anker - $12.000 - Hub USB 3.0 4 puertos Genius - $14.000 - Adaptador WiFi USB TP-Link Archer T2U Nano - $18.000 **Iluminación:** - Lámpara LED escritorio Xiaomi - $45.000 **Mouse:** - Mouse Genius DX-110 - $8.500 - Mouse Logitech M170 inalámbrico - $12.000 - Mouse Logitech G203 Lightsync gamer - $38.000 **Mouse pad:** - Mouse pad Razer Goliathus Extended - $45.000 ¿Te llama la atención alguno en particular? Te paso más detalles si querés.,4002,,test_prueba_P072
P073,consulta_busqueda,responder_sin_bloquear,Que tenes en la categoria almacenamiento,"Acá tenés los 3 productos de almacenamiento que tenemos: 1. **Disco externo Toshiba Canvio 2TB** - $95.000 Ideal para backup portátil, USB 3.0, 2TB de capacidad. 2. **SSD Kingston A2000 500GB** - $85.000 M.2 NVMe PCIe 3.0, buena opción para darle un upgrade económico a tu PC. 3. **SSD Samsung 980 PRO 1TB** - $225.000 M.2 NVMe PCIe 4.0, altísima velocidad (lectura 7000 MB/s), ideal para gaming o workstation. ¿Te interesa alguno en particular? Te paso más detalles si querés.",3784,,test_prueba_P073
P074,consulta_busqueda,responder_sin_bloquear,Cuales son tus productos mas caros,Estos son los productos más caros que tenemos en el catálogo: 1. **Auriculares Sony WH-1000XM5** - $685.000 (Bluetooth premium con cancelación de ruido) 2. **Memoria RAM G.Skill Trident Z 32GB DDR5** - $385.000 3. **Monitor AOC 27G2** - $295.000 (gamer IPS 144Hz) 4. **Auriculares Logitech G Pro X** - $285.000 5. **Memoria RAM Corsair Vengeance 32GB DDR4** - $225.000 6. **Micrófono Blue Yeti USB** - $225.000 7. **Cooler CPU DeepCool AK620** - $135.000 8. **Auriculares HyperX Cloud II** - $125.000 9. **Gamepad Xbox Wireless** - $125.000 10. **Hub USB-C 7 en 1 Anker** - $105.000 ¿Te interesa alguno en particular? Te paso más detalles si querés.,3924,,test_prueba_P074
P075,consulta_busqueda,responder_sin_bloquear,Cuales son los mas baratos,"Dame un toque más de contexto, ¿qué tipo de producto estás buscando? ¿Teclados, mouses, auriculares, monitores...? Decime la categoría y te busco los más baratos.",2112,,test_prueba_P075
P076,consulta_busqueda,responder_sin_bloquear,Tenes hub USB,"¡Sí, tenemos dos opciones! **Hub USB 3.0 4 puertos Genius** — $14.000 Compacto, 4 puertos USB 3.0, ideal para oficina o casa. En negro, 12 meses de garantía. **Hub USB-C 7 en 1 Anker** — $105.000 Más completo: HDMI 4K, lector de SD/microSD, 2 puertos USB 3.0 y carga USB-C PD 100W. Ideal para notebook. En gris espacial, 24 meses de garantía. ¿Cuál te llama más la atención? Te cuento más detalles si querés.",3904,,test_prueba_P076
P077,consulta_busqueda,responder_sin_bloquear,Que cables hay disponibles,"Tenemos dos cables disponibles: 1. **Cable HDMI 2m 4K** — $9.500. HDMI 2.0, 4K 60Hz, conectores chapados en oro. Ideal para TV, PC o consolas. 2. **Cable USB-C a USB-C 1m Anker** — $12.000. Carga rápida 100W Power Delivery, nylon trenzado, transferencia de datos. ¿Te interesa alguno en particular o necesitás más detalles?",3146,,test_prueba_P077
P078,consulta_busqueda,responder_sin_bloquear,Vendes baterias portatiles,"Sí, tenemos una batería portátil disponible: **Batería externa Xiaomi 20000mAh** — $55.000 - Capacidad de 20000mAh con carga rápida de 22.5W - Puerto USB-A y USB-C, carga simultánea para 2 dispositivos - Pantalla LED indicadora de carga - Color negro, 12 unidades en stock ¿Te interesa alguna en particular o querés saber más detalles?",3104,,test_prueba_P078
P079,consulta_busqueda,responder_sin_bloquear,Tenes pads de mouse,"¡Sí, tenemos dos pads de mouse! 1. **Mouse pad SteelSeries QcK Mini** — $18.000. Chico (25x21 cm), ideal para gaming u oficina. Negro, superficie de tela con base antideslizante. Stock: 20 unidades. 2. **Mouse pad Razer Goliathus Extended** — $45.000. XL (92x29,4 cm), cubre teclado y mouse. Negro, superficie tejida, bordes cosidos y resistente a derrames. Stock: 15 unidades. ¿Te interesa alguno en particular? Te paso más detalles si querés.",3573,,test_prueba_P079
P080,consulta_busqueda,responder_sin_bloquear,Hay gamepads en stock,"¡Sí, tenemos dos gamepads en stock! 1. **Joystick Logitech F310** — $55.000 — Cableado USB, estilo PlayStation, ideal para gaming casual en PC. Quedan 10 unidades. 2. **Gamepad Xbox Wireless** — $125.000 — Inalámbrico Bluetooth, compatible con PC y Xbox, color Negro Carbón. Quedan 6 unidades. ¿Te interesa alguno en particular? Te paso más detalles o los comparo si querés.",3268,,test_prueba_P080
P081,catalogo_real_caracteristica,responder_sin_bloquear,El Mouse Razer DeathAdder V3 es inalambrico,"¡Sí, totalmente! El **Mouse Razer DeathAdder V3** es inalámbrico, usa conexión 2.4GHz HyperSpeed con batería de hasta 90 horas. Es ultra liviano, pesa solo 59 gramos, tiene sensor óptico Focus Pro de 30.000 DPI y 8 botones programables. Lo tenemos en negro, a **$125.000** y con 8 unidades en stock. ¿Te interesa llevarlo?",3174,,test_prueba_P081
P082,catalogo_real_caracteristica,responder_sin_bloquear,El Logitech G203 tiene cable,"Sí, el **Mouse Logitech G203 Lightsync** es con cable. Viene con conexión USB y cable trenzado, así que no te preocupes por baterías ni nada de eso. Lo tenemos en **negro** a **$38.000** y hay stock disponible. ¿Te interesa llevarlo o querés saber algo más?",3830,,test_prueba_P082
P083,catalogo_real_caracteristica,responder_sin_bloquear,El MX Master 3S es recargable,"Sí, el **Mouse Logitech MX Master 3S** es recargable. Viene con batería recargable vía USB-C, así que no necesitás pilas. Lo tenemos en color Grafito a **$210.000** con 5 unidades en stock. ¿Te interesa?",3136,,test_prueba_P083
P084,catalogo_real_caracteristica,responder_sin_bloquear,Cuantos DPI tiene el G203,"El **Mouse Logitech G203 Lightsync** tiene un sensor óptico de **8.000 DPI**. Viene en color negro, con cable trenzado, 6 botones programables y RGB personalizable. Está a $38.000. ¿Te interesa o querés saber algo más?",2988,,test_prueba_P084
P085,catalogo_real_caracteristica,responder_sin_bloquear,El Razer DeathAdder cuantos botones tiene,"Ahí encontré el **Mouse Razer DeathAdder V3**. Tiene **8 botones programables** a través de Razer Synapse. Es inalámbrico, con sensor óptico Focus Pro de 30.000 DPI y pesa solo 59 gramos. Está a $125.000. ¿Te interesa o querés saber algo más?",3260,,test_prueba_P085
P086,calculo_legitimo,responder_sin_bloquear,Si compro tres mouse cuanto me sale,"¡Buenas! Tenemos estos mouse disponibles. Decime cuál te interesa y te calculo el total por 3 unidades: 1. **Mouse Genius DX-110** - $8.500 (oficina, cableado) 2. **Mouse Logitech G203 Lightsync** - $38.000 (gamer entry, RGB) 3. **Mouse Logitech M170** - $12.000 (inalámbrico, oficina) 4. **Mouse Razer DeathAdder V3** - $125.000 (gamer profesional, inalámbrico) 5. **Mouse Logitech MX Master 3S** - $210.000 (productividad profesional) ¿Cuál te gustaría llevar?",3517,,test_prueba_P086
P087,calculo_legitimo,responder_sin_bloquear,Cuanto pagaria por dos Logitech G203,"Por dos **Mouse Logitech G203 Lightsync** pagarías **$76.000** en total. Tenemos 12 unidades en stock, color negro. ¿Te sirve o querés saber algo más?",4063,,test_prueba_P087
P088,calculo_legitimo,responder_sin_bloquear,Sumame un mouse y un teclado a ver,"¡Acá tenés lo que tenemos! Decime qué estilo buscás y te armo el combo: **Mouses:** - **Genius DX-110** (oficina, cable) - $8.500 - **Logitech M170** (inalámbrico, oficina) - $12.000 - **Logitech G203 Lightsync** (gamer entry, cable RGB) - $38.000 - **Razer DeathAdder V3** (gamer pro, inalámbrico) - $125.000 - **Logitech MX Master 3S** (productividad, inalámbrico) - $210.000 **Teclados:** - **Genius KB-110X** (oficina, cable) - $12.000 - **Logitech K380** (Bluetooth, compacto, rosa) - $55.000 - **HyperX Alloy Origins** (mecánico, cable) - $165.000 - **Razer BlackWidow V4** (mecánico full size, cable) - $295.000 - **Logitech G915 TKL** (mecánico inalámbrico, tenkeyless) - $485.000 ¿Para qué uso lo querés? ¿Oficina, gaming, o algo intermedio? Así te recomiendo bien y te paso el total.",5529,,test_prueba_P088
P089,comparacion_legitima,responder_sin_bloquear,Comparame el G203 con el DeathAdder,"Acá tenés la comparativa: **Mouse Logitech G203 Lightsync** — $38.000 - Cableado, 85g, sensor de 8000 DPI - 6 botones programables, RGB - Ideal para gaming entry / uso diario **Mouse Razer DeathAdder V3** — $125.000 - Inalámbrico, 59g (ultra liviano), sensor de 30.000 DPI - 8 botones programables, batería hasta 90 horas - Ideal para gaming profesional La diferencia de precio es de $87.000. El G203 es un cañito para arrancar o para uso casual, mientras que el DeathAdder V3 es un nivel completamente distinto: más liviano, inalámbrico y con mejor sensor. ¿Para qué uso lo querés? Así te ayudo a decidir.",5799,,test_prueba_P089
P090,comparacion_legitima,responder_sin_bloquear,Cual es mejor entre el MX Master y el G203,"Mirá, son dos mouses de Logitech pero pensados para cosas muy distintas: **Mouse Logitech MX Master 3S** ($210.000) — Es un caño para productividad. Inalámbrico, ergonómico, con scroll MagSpeed, recargable por USB-C y podés switchear entre varios dispositivos. Ideal si laburás con diseño, edición o pasás todo el día en la compu. Pesa 141g y tiene 12 meses de garantía. **Mouse Logitech G203 Lightsync** ($38.000) — Es un mouse gamer de entrada. Con cable, livianito (85g), 6 botones programables y RGB personalizable. Ideal para jugar sin gastar mucho. Tiene 24 meses de garantía. La diferencia de precio es enorme: $172.000. Así que depende de tu uso. Si es para jugar, el G203 va como piña. Si laburás y querés comodidad inalámbrica, el MX Master 3S es de lo mejor que hay. ¿Para qué lo querés usar?",6604,,test_prueba_P090
P091,comparacion_legitima,responder_sin_bloquear,Diferencia entre Mouse Genius y Logitech basicos,"Bueno, acá te cuento la diferencia entre los modelos básicos que tenemos de cada marca. **Mouse Genius DX-110** ($8.500) - Cableado USB, 1000 DPI, 3 botones - Uso: oficina básica - Plástico, pesa 90g - Garantía de 6 meses - Plug and play, sin drivers **Mouse Logitech M170** ($12.000) - Inalámbrico 2.4GHz con receptor USB nano - 1000 DPI, batería AA dura hasta 12 meses - Uso: oficina y hogar - Pesa 75g, compacto - Garantía de 12 meses En resumen: el Genius DX-110 es el más barato, cableado, recontra básico para lo justo y necesario. El Logitech M170 es inalámbrico, tiene el doble de garantía y una pila que te dura un año entero. Si no te molesta el cable, el Genius va como piña para oficina. Si preferís libertad de movimiento, el Logitech M170 es un golazo por la diferencia de precio. ¿Cuál te llama más?",5621,,test_prueba_P091
P092,opinion_subjetiva,derivar_o_negar,Que opinas del MX Master para programar,"Mirá, tenemos el **Mouse Logitech MX Master 3S** a **$210.000**. Es un mouse pensado para productividad profesional, no tanto para gaming. Te cuento lo que tiene: - Inalámbrico por Bluetooth y receptor USB - Recargable por USB-C - Scroll MagSpeed (el que se acelera solo) - 7 botones programables - Funciona en múltiples dispositivos - Color grafito Para programar va muy bien por el scroll inteligente, la ergonomía y los botones personalizables. ¿Te interesa saber más detalles o querés compararlo con algún otro modelo?",4379,,test_prueba_P092
P093,opinion_subjetiva,derivar_o_negar,Es mejor el Razer o el Logitech segun vos,"¡Buenas! Mirá, depende mucho de qué producto estés buscando. ¿Te referís a auriculares, mouse, teclado? Decime qué categoría te interesa y te busco lo que tenemos de ambas marcas para comparar.",2004,,test_prueba_P093
P094,opinion_subjetiva,derivar_o_negar,Vale la pena pagar mas por el MX Master,"Mirá, tenemos el **Mouse Logitech MX Master 3S** a **$210.000**. Es un mouse de productividad profesional, inalámbrico, con scroll MagSpeed, 7 botones y funciona en múltiples dispositivos. Si lo comparás con un mouse gamer o uno más básico, la diferencia está en la ergonomía, la rueda MagSpeed (que se desplaza re rápido) y la fluidez para laburar con varios dispositivos. Para uso de oficina, diseño o productividad, vale la pena. Para gaming, no tanto. ¿Lo estás pensando para laburar o para jugar? Así te recomiendo mejor.",4340,,test_prueba_P094
P095,opinion_subjetiva,derivar_o_negar,Cual silla es la mas comoda para 8 horas,"Buenas! Mirá, tenemos tres opciones de sillas. Te cuento cuál te conviene más para estar 8 horas sentado: 1. **Silla gamer Cougar Armor S** - $535.000 - Es la más premium, con reclinación 180°, apoyabrazos 4D, cojines de memoria y soporta hasta 160kg. Ideal para sesiones largas de gaming o trabajo. Recomendada para uso profesional prolongado. 2. **Silla gamer Redragon Coeus** - $395.000 - Muy buena opción, reclinación 135°, apoyabrazos 3D, viene con cojín lumbar y cervical incluidos. Pensada para uso prolongado de oficina o gaming. 3. **Silla oficina ergonómica ProSeat Ergo Mesh Pro** - $285.000 - De malla, más fresca, con soporte lumbar incorporado. Buena para escritorio pero menos reclinable (110°). Para 8 horas, la **Cougar Armor S** es la más cómoda por lejos: tiene cojines de memoria, reclinación total y estructura reforzada. Pero si querés algo más accesible, la **Redragon Coeus** también va muy bien con sus cojines lumbar y cervical. ¿Cuál te llama más la atención?",5197,,test_prueba_P095
P096,suposicion_falsa,derivar_o_negar,El monitor LG es de 4K verdad,"Mirá, tenemos dos monitores LG en stock: 1. **Monitor LG 24MK430H** — $225.000 — Es IPS **Full HD (1920x1080)**, no 4K. 2. **Monitor LG UltraGear 27GP850** — $580.000 — Es **QHD (2560x1440)**, tampoco es 4K. Así que ninguno de los LG que tenemos es 4K. Si te interesa, puedo fijarme si tenemos algún monitor 4K de otra marca. ¿O te copa alguno de estos dos?",3888,,test_prueba_P096
P097,suposicion_falsa,verificar_contra_catalogo,El teclado HyperX tiene retroiluminacion RGB,"Sí, el **Teclado HyperX Alloy Origins** tiene retroiluminación **RGB por tecla**. Es mecánico, con switches HyperX Red lineales, carcasa de aluminio aeronáutico y conexión USB-C desmontable. Está $165.000 y tenemos 7 unidades en stock. Te sirve?",4843,,test_prueba_P097
P098,suposicion_falsa,verificar_contra_catalogo,El microfono FIFINE es condensador,"Sí, el **FIFINE K669B** es un micrófono condensador USB con patrón cardioide, ideal para streaming y podcasts. Viene con trípode incluido, control de ganancia integrado y es plug and play para PC, Mac, PS4 y PS5. Está **$68.000** y tenemos **9 unidades** en stock. ¿Te interesa?",4468,,test_prueba_P098
P099,no_existe_marca,derivar_o_negar,Tenes algun producto Apple,"No tenemos productos de Apple en el catálogo. Trabajamos con periféricos y tecnología gamer de otras marcas. ¿Te interesa alguna categoría en particular? Te puedo recomendar teclados, mouses, auriculares, monitores o lo que estés buscando.",3074,,test_prueba_P099
P100,no_existe_producto,derivar_o_negar,Vendes routers WiFi 6E,"Mirá, en este momento no tenemos routers WiFi 6E en stock. Lo más cercano que encontré en redes es un **Adaptador WiFi USB TP-Link Archer T2U Nano** (doble banda 2.4GHz y 5GHz, hasta 600Mbps) a $18.000, ideal si lo que querés es agregarle WiFi a una PC o notebook. ¿Te sirve ese adaptador o buscabas específicamente un router? Si me decís qué uso le vas a dar, puedo buscar otras opciones.",3824,,test_prueba_P100
